"TeamID","TeamName","ConfAbbrev","ConfFullName","CoachName","TotalCoachYears","CurrCoachYears","Seed","Wins","WinsOT","Losses","LossesOT","HomeWins","HomeLosses","AwayWins","AwayLosses","NeutralWins","NeutralLosses","NeutralWinsPct","NeutralLossesPct","AvgScore","AvgFGM","AvgFGA","AvgFGM2","AvgFGA2","AvgFGM3","AvgFGA3","AvgFTM","AvgFTA","AvgOR","AvgDR","AvgAst","AvgTO","AvgStl","AvgBlk","AvgPF"
1101,"Abilene Chr","southland","Southland Conference","joe_golding",5,5,20,12,1,15,0,5,8,6,6,1,1,0.0833333333333333,0.0666666666666667,70.6666666666667,25.5185185185185,56.4814814814815,19.037037037037,36.5185185185185,6.48148148148148,19.962962962963,13.1481481481481,18.6666666666667,9.03703703703704,23.2222222222222,13.8888888888889,14.4074074074074,7.14814814814815,3.62962962962963,21.037037037037
1102,"Air Force","mwc","Mountain West Conference","dave_pilipovich",7,7,20,10,0,19,1,7,10,3,7,0,2,0,0.105263157894737,66.6896551724138,22.7586206896552,56.1034482758621,14.8275862068966,31.6896551724138,7.93103448275862,24.4137931034483,13.2413793103448,17.9310344827586,9.82758620689655,22.6896551724138,13.8965517241379,12.7586206896552,6.44827586206897,2.62068965517241,18.1379310344828
1103,"Akron","mac","Mid-American Conference","john_groce",9,1,20,13,0,18,2,11,10,2,4,0,4,0,0.222222222222222,71.2903225806452,24.6774193548387,57.0645161290323,15.2258064516129,30.4193548387097,9.45161290322581,26.6451612903226,12.4838709677419,17.9354838709677,9.58064516129032,23.4838709677419,12.9354838709677,13.8387096774194,5.96774193548387,2.38709677419355,20.0322580645161
1104,"Alabama","sec","Southeastern Conference","avery_johnson",3,3,9,19,0,15,0,12,8,2,4,5,3,0.263157894736842,0.2,72.3529411764706,25.2941176470588,55.2058823529412,18.9117647058824,35.5294117647059,6.38235294117647,19.6764705882353,15.3823529411765,22.8823529411765,10.0294117647059,26.2647058823529,12.5294117647059,14.1470588235294,6.41176470588235,5.47058823529412,19
1105,"Alabama A&M","swac","Southwest Athletic Conference","donnie_marsh",5,1,20,3,0,28,1,2,18,1,9,0,1,0,0.0357142857142857,60.4193548387097,21.7096774193548,54.7096774193548,15.8387096774194,35.3225806451613,5.87096774193548,19.3870967741935,11.1290322580645,17.1935483870968,10.8064516129032,22.9354838709677,10.9677419354839,16.5806451612903,3.96774193548387,1.58064516129032,16.3225806451613
1106,"Alabama St","swac","Southwest Athletic Conference","lewis_jackson",13,13,20,8,1,23,0,4,13,4,7,0,3,0,0.130434782608696,68.6774193548387,24.2258064516129,59.2903225806452,17.4838709677419,38.7096774193548,6.74193548387097,20.5806451612903,13.4838709677419,20.8709677419355,12.7096774193548,23.7741935483871,10.0967741935484,14.0967741935484,5.45161290322581,4.19354838709677,20.9032258064516
1107,"Albany NY","aec","America East Conference","will_brown",17,17,20,21,0,10,0,13,7,8,3,0,0,0,0,73.3225806451613,25.8709677419355,56.9032258064516,20.1612903225806,41.3870967741936,5.70967741935484,15.5161290322581,15.8709677419355,21.0322580645161,11.6129032258065,25.258064516129,12.5161290322581,11.741935483871,4.70967741935484,2.93548387096774,16.258064516129
1108,"Alcorn St","swac","Southwest Athletic Conference","montez_robinson",3,3,20,7,1,21,0,5,16,2,5,0,0,0,0,67.5714285714286,23.5,55.7857142857143,16.5357142857143,34.8928571428571,6.96428571428571,20.8928571428571,13.6071428571429,18.8214285714286,9.42857142857143,23.7142857142857,11.7857142857143,14.5714285714286,5.82142857142857,2.71428571428571,19.5357142857143
1110,"American Univ","patriot","Patriot League","mike_brennan",5,5,20,6,0,24,1,4,16,2,8,0,0,0,0,65.3666666666667,23.2666666666667,53.8333333333333,15.3,30.2,7.96666666666667,23.6333333333333,10.8666666666667,16.3666666666667,8.06666666666667,20.9,12.2333333333333,13.7666666666667,7.23333333333333,3.26666666666667,18.3666666666667
1111,"Appalachian St","sun_belt","Sun Belt Conference","jim_fox",4,4,20,13,1,18,2,7,11,4,4,2,3,0.153846153846154,0.166666666666667,73.8709677419355,25.3548387096774,59.3870967741936,16.8387096774194,33.8064516129032,8.51612903225806,25.5806451612903,14.6451612903226,21.8709677419355,11.1935483870968,26.258064516129,11.8709677419355,13.5161290322581,5.45161290322581,3.32258064516129,18.9032258064516
1112,"Arizona","pac_twelve","Pacific-12 Conference","sean_miller",14,9,4,27,3,7,1,15,3,8,1,4,3,0.148148148148148,0.428571428571429,80.8823529411765,28.8235294117647,57.0294117647059,21.9117647058824,38.6764705882353,6.91176470588235,18.3529411764706,16.3235294117647,21.4705882352941,10.0294117647059,26.6176470588235,15.2352941176471,12.2941176470588,4.97058823529412,4.55882352941176,17.5
